Name,Level,MaxHP,MaxMP,Attack,Magic,DropExp,NextExp
1,1,100,0,5,7,10,0
2,2,120,0,10,15,20,0
3,3,140,0,15,22,30,0
4,4,160,0,20,30,40,0
5,5,180,0,25,37,50,0
6,6,250,0,40,60,60,0
7,7,320,0,55,82,70,0
8,8,390,0,70,105,80,0
9,9,460,0,85,127,90,0
10,10,530,0,100,150,100,0
11,11,670,0,150,225,110,0
12,12,810,0,200,300,120,0
13,13,950,0,250,375,130,0
14,14,1090,0,300,450,140,0
15,15,1230,0,350,525,150,0
16,16,1430,0,400,600,160,0
17,17,1630,0,450,675,170,0
18,18,1830,0,500,750,180,0
19,19,2030,0,550,825,190,0
20,20,2300,0,600,900,200,0
21,21,2600,0,700,1050,210,0
22,22,2900,0,800,1200,220,0
23,23,3200,0,900,1350,230,0
24,24,3500,0,1000,1500,240,0
25,25,3800,0,1500,2250,250,0
26,26,7500,0,2000,3000,500,0
27,27,12000,0,2500,3750,2000,0
28,28,20000,0,3500,5250,4000,0
29,29,40000,0,4500,6750,10000,0
30,30,250000,0,6000,9000,50000,0
